"압구정웰동물병원","서울특별시 강남구 압구정로 108 (신사동, 덕산빌딩 203호 )","3443-0275",
"헬릭스동물메디컬센터","서울특별시 서초구 신반포로 162 (반포동, 르본시티 2층)","02-2135-9119",
"김천연합동물병원","","054-436-7577",
"우리동물병원","경상남도 창원시 의창구 팔용로 425, 104호 (팔용동)","055-609-7582",
"윤신근박사동물병원","서울특별시 중구 퇴계로 226 (필동2가)","2274-8558",
"바우미우동물병원","서울특별시 중구 다산로 175 (신당동)","2237-3366",
"황동물병원","서울특별시 중구 퇴계로 254-1 (묵정동)","2278-0075",
"대한동물병원","서울특별시 중구 퇴계로 227-1 (충무로4가)","2263-6134",
"남산동물병원","서울특별시 중구 다산로 32, 5상가동동 217호 (신당동,남산타운아파트)","2256-8275",
"미래지동물의료센터","서울특별시 중구 다산로 107, 2층 (신당동)","2233-7574",
"차지우동물병원","서울특별시 중구 동호로 204 (신당동,청화빌딩 1층)","2237-7533",
"웰펫동물병원","서울특별시 중구 동호로 178 (신당동)","2256-7582",
"위즈펫 동물병원","서울특별시 중구 청파로 426, 3층 (봉래동2가, 롯데마트)",
"웰니스 클리닉(청계천점)","서울특별시 중구 청계천로 400, 지하2층 (황학동, 이마트 청계천점)","070-8868-7585",
"좋아요 동물병원","서울특별시 중구 다산로36길 83, 1층 (신당동)","02-2233-6675",
"그녀의 동물병원","서울특별시 중구 다산로 32, 스포츠센터동 106-2호 (신당동)","02-2237-7582",
"보라종합동물병원","경기도 용인시 기흥구 민속촌로 8 (보라동)","031-893-6119",
"해담은동물병원","경기도 용인시 수지구 성복1로 106, 107호 (성복동, 벽산프라자)","031-892-7775",
"즐거운동물병원","경기도 용인시 수지구 성복2로 100, 113호 (성복동, 예반아이엔프라자)","031-272-7583",
"메이동물메디컬센터","전라북도 전주시 완산구 백제대로 218 (중화산동2가)","285-7975",
"수제동물병원","전라북도 정읍시 충정로 349 (연지동)","063-537-4089",
"아리동물병원","서울특별시 은평구 증산서길 132, 102호 (증산동)","02-307-7502",
"달맞이 호두네 동물병원","부산광역시 해운대구 달맞이길65번길 33, 상가동 3층 305호 (중동, 해운대 달맞이 유림 노르웨이숲)","746-7077",
"람보동물병원","대전광역시 유성구 지족로 374, B동 114~5호 (지족동, 옥타브상가)",
"기운찬 동물병원","경상북도 경산시 백자로 71 (사동)","053-816-8275",
"내곁에동물병원","경기도 의정부시 오목로225번길 140, 107,108호 (민락동)","031-852-7582",
"람보동물병원(가수원점)","대전광역시 서구 도안동로 9 (가수원동, 리더스프라자 103호)","542-8461",
"경남수의동물병원","경상남도 창녕군 계성면 영산장마로 665-4",
"백현 동물병원","경기도 성남시 분당구 동판교로52번길 6 (백현동)","705-7511",
"우리동물병원","경상북도 경산시 대정길 37-1 (대정동)","053-963-3120",
"남산동물병원","서울특별시 중구 다산로 32, 5상가동동 217호 (신당동,남산타운아파트)","2256-8275",
"미래지동물의료센터","서울특별시 중구 다산로 107, 2층 (신당동)","2233-7574",
"차지우동물병원","서울특별시 중구 동호로 204 (신당동,청화빌딩 1층)","2237-7533",
"웰펫동물병원","서울특별시 중구 동호로 178 (신당동)","2256-7582",
"위즈펫 동물병원","서울특별시 중구 청파로 426, 3층 (봉래동2가, 롯데마트)",
"웰니스 클리닉(청계천점)","서울특별시 중구 청계천로 400, 지하2층 (황학동, 이마트 청계천점)","070-8868-7585",
"좋아요 동물병원","서울특별시 중구 다산로36길 83, 1층 (신당동)","02-2233-6675",
"그녀의 동물병원","서울특별시 중구 다산로 32, 스포츠센터동 106-2호 (신당동)","02-2237-7582",
"보라종합동물병원","경기도 용인시 기흥구 민속촌로 8 (보라동)","031-893-6119",
"해담은동물병원","경기도 용인시 수지구 성복1로 106, 107호 (성복동, 벽산프라자)","031-892-7775",
"즐거운동물병원","경기도 용인시 수지구 성복2로 100, 113호 (성복동, 예반아이엔프라자)","031-272-7583",
"메이동물메디컬센터","전라북도 전주시 완산구 백제대로 218 (중화산동2가)","285-7975",
"수제동물병원","전라북도 정읍시 충정로 349 (연지동)","063-537-4089",
"아리동물병원","서울특별시 은평구 증산서길 132, 102호 (증산동)","02-307-7502",
"달맞이 호두네 동물병원","부산광역시 해운대구 달맞이길65번길 33, 상가동 3층 305호 (중동, 해운대 달맞이 유림 노르웨이숲)","746-7077",
"람보동물병원","대전광역시 유성구 지족로 374, B동 114~5호 (지족동, 옥타브상가)",
"기운찬 동물병원","경상북도 경산시 백자로 71 (사동)","053-816-8275",
"내곁에동물병원","경기도 의정부시 오목로225번길 140, 107,108호 (민락동)","031-852-7582",
"람보동물병원(가수원점)","대전광역시 서구 도안동로 9 (가수원동, 리더스프라자 103호)","542-8461",
"경남수의동물병원","경상남도 창녕군 계성면 영산장마로 665-4",
"백현 동물병원","경기도 성남시 분당구 동판교로52번길 6 (백현동)","705-7511",
"우리동물병원","경상북도 경산시 대정길 37-1 (대정동)","053-963-3120",
"영양동물병원","경상북도 영양군 영양읍 영양창수로 22-0 (동국만능건조기)",
"우신동물병원","서울특별시 양천구 중앙로 295 (신월동)","2693-8883",
"강현림 종합동물병원","서울특별시 양천구 등촌로 160 (목동)","2642-9159",
"해성동물병원","","651-9953",
"노아동물병원","서울특별시 양천구 신목로 59 (신정동)","654-6183",
"양천종합동물병원","서울특별시 양천구 오목로 45 (신월동)","2607-0022",
"이솝동물병원","서울특별시 양천구 목동동로8길 7 (신정동)","2644-8275",
"나우동물종합병원","서울특별시 양천구 목동중앙본로 10 (목동,극동상가 103)","2644-8254",
"보라종합동물병원","경기도 용인시 기흥구 민속촌로 8 (보라동)","031-893-6119",
"해담은동물병원","경기도 용인시 수지구 성복1로 106, 107호 (성복동, 벽산프라자)","031-892-7775",
"즐거운동물병원","경기도 용인시 수지구 성복2로 100, 113호 (성복동, 예반아이엔프라자)","031-272-7583",
"메이동물메디컬센터","전라북도 전주시 완산구 백제대로 218 (중화산동2가)","285-7975",
"수제동물병원","전라북도 정읍시 충정로 349 (연지동)","063-537-4089",
"아리동물병원","서울특별시 은평구 증산서길 132, 102호 (증산동)","02-307-7502",
