"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"영남가축병원","경상북도 경주시 양북면 어일3길 7-2","744-2024",
"중앙가축병원","경상북도 경주시 안강읍 안강중앙로 227",
"안강가축병원","경상북도 경주시 강동면 인좌안길 98-9","761-2227",
"다보가축병원","","746-3344",
"한일가축병원","경상북도 경주시 외외안길 5 (효현동)","772-6635",
"손진규동물병원","경상북도 경주시 화랑로 65 (서부동)","743-0110",
"의곡동물병원","경상북도 경주시 산내면 의곡2길 17-1","751-6960",
"대원가축병원","경상북도 경주시 화랑로 92 (동부동)","054-772-4488",
"경주동물병원","경상북도 경주시 원화로 322 (성동동)","772-4712",
"신라동물병원","경상북도 경주시 금성로259번길 8 (노서동)","743-8888",
"건국동물병원","경상북도 경주시 외동읍 입실로3길 4",
"청림동물병원",
"신광동물병원","경상북도 경주시 건천읍 내서로 1110","751-7070",
"알파동물병원","경상북도 경주시 태종로 713 (노서동)","743-2135",
"서라벌동물병원","경상북도 경주시 석장남길 69-46 (석장동)","745-8900",
"서라벌동물병원약품","경상북도 경주시 원효로52번길 16 (노서동)","743-7500",
"가나동물병원","경상북도 경주시 금성로 385 (성건동)","774-9975",
"정수의과병원","경상북도 경주시 원효로 52-16 (노서동)","745-2200",
"가람동물병원","경상북도 경주시 외동읍 입실로3길 32","743-1947",
"경북대동물병원","경상북도 경주시 안강읍 안현로 1553","762-0164",
"김병규동물병원","경상북도 경주시 산업로 3012 (시래동)","763-1985",
"최기섭동물병원","경상북도 경주시 금성로 339 (성건동)",
"러브펫 동물병원","경상북도 경주시 황성로 32 (황성동)","0547711930",
"현대동물병원","경상북도 경주시 안강읍 안강중앙로 190-1","054-763-8575",
"즐거운 동물병원","경상북도 경주시 금성로 310-1 (서부동)","0547747576",
"최상범동물병원","경상북도 경주시 금성로 334 (서부동)","0547420964",
"성심동물병원","경상북도 경주시 원효로 186 (황오동)",
"양북동물병원","경상북도 경주시 양북면 감은로 37",
"연성 동물병원","경상북도 경주시 안강읍 비화원로 46","054-761-0005",
"대원가축병원","경상북도 경주시 화랑로 92 (동부동)","054-772-4488",
"경주동물병원","경상북도 경주시 원화로 322 (성동동)","772-4712",
"신라동물병원","경상북도 경주시 금성로259번길 8 (노서동)","743-8888",
"건국동물병원","경상북도 경주시 외동읍 입실로3길 4",
"청림동물병원",
"신광동물병원","경상북도 경주시 건천읍 내서로 1110","751-7070",
"알파동물병원","경상북도 경주시 태종로 713 (노서동)","743-2135",
"서라벌동물병원","경상북도 경주시 석장남길 69-46 (석장동)","745-8900",
"서라벌동물병원약품","경상북도 경주시 원효로52번길 16 (노서동)","743-7500",
"가나동물병원","경상북도 경주시 금성로 385 (성건동)","774-9975",
"정수의과병원","경상북도 경주시 원효로 52-16 (노서동)","745-2200",
"가람동물병원","경상북도 경주시 외동읍 입실로3길 32","743-1947",
"경북대동물병원","경상북도 경주시 안강읍 안현로 1553","762-0164",
"김병규동물병원","경상북도 경주시 산업로 3012 (시래동)","763-1985",
"최기섭동물병원","경상북도 경주시 금성로 339 (성건동)",
"러브펫 동물병원","경상북도 경주시 황성로 32 (황성동)","0547711930",
"현대동물병원","경상북도 경주시 안강읍 안강중앙로 190-1","054-763-8575",
"즐거운 동물병원","경상북도 경주시 금성로 310-1 (서부동)","0547747576",
"최상범동물병원","경상북도 경주시 금성로 334 (서부동)","0547420964",
"성심동물병원","경상북도 경주시 원효로 186 (황오동)",
"양북동물병원","경상북도 경주시 양북면 감은로 37",
"연성 동물병원","경상북도 경주시 안강읍 비화원로 46","054-761-0005",
"김병규동물병원","경상북도 경주시 불국장터길 5 (시래동)",
"기분좋은 동물병원","경상북도 경주시 양남면 동해안로 612","054-776-6005",
"삼성동물병원","경상북도 경주시 안강읍 안현로 1559","054-763-0164",
"다돈동물병원","경상북도 경주시 안강읍 안현로 546",
"현대동물병원","경상북도 경주시 황성로 59 (황성동)","744-9993",
"이:은종합동물병원","경상북도 경주시 원화로 308-2 (성동동)","070-7559-7588",
"거류가축병원","경상남도 고성군 거류면 당동5길 16","672-1458",
"조수의과가축병원","경상남도 고성군 회화면 배둔로39번길 3",
"서라벌동물병원약품","경상북도 경주시 원효로52번길 16 (노서동)","743-7500",
"가나동물병원","경상북도 경주시 금성로 385 (성건동)","774-9975",
"정수의과병원","경상북도 경주시 원효로 52-16 (노서동)","745-2200",
"가람동물병원","경상북도 경주시 외동읍 입실로3길 32","743-1947",
"경북대동물병원","경상북도 경주시 안강읍 안현로 1553","762-0164",
"김병규동물병원","경상북도 경주시 산업로 3012 (시래동)","763-1985",
"최기섭동물병원","경상북도 경주시 금성로 339 (성건동)",
"러브펫 동물병원","경상북도 경주시 황성로 32 (황성동)","0547711930",
"현대동물병원","경상북도 경주시 안강읍 안강중앙로 190-1","054-763-8575",
"즐거운 동물병원","경상북도 경주시 금성로 310-1 (서부동)","0547747576",
"최상범동물병원","경상북도 경주시 금성로 334 (서부동)","0547420964",
"성심동물병원","경상북도 경주시 원효로 186 (황오동)",
"양북동물병원","경상북도 경주시 양북면 감은로 37",
"연성 동물병원","경상북도 경주시 안강읍 비화원로 46","054-761-0005",
"김병규동물병원","경상북도 경주시 불국장터길 5 (시래동)",
"기분좋은 동물병원","경상북도 경주시 양남면 동해안로 612","054-776-6005",
"삼성동물병원","경상북도 경주시 안강읍 안현로 1559","054-763-0164",
"다돈동물병원","경상북도 경주시 안강읍 안현로 546",
"현대동물병원","경상북도 경주시 황성로 59 (황성동)","744-9993",
"이:은종합동물병원","경상북도 경주시 원화로 308-2 (성동동)","070-7559-7588",
"거류가축병원","경상남도 고성군 거류면 당동5길 16","672-1458",
"조수의과가축병원","경상남도 고성군 회화면 배둔로39번길 3",
"제일가축병원","경상남도 고성군 고성읍 동외로 185","674-7343",
"현대가축병원","경상남도 고성군 고성읍 동외로 147","674-2792",
"경남축산가축병원","경상남도 고성군 회화면 회진로 27-13","673-7737",
"가야동물병원","","674-5345",
"고성동물병원","경상남도 고성군 고성읍 동외로 163-14",
"부화동물병원","경상남도 고성군 고성읍 동외로 175",
"백호동물병원","경상남도 고성군 고성읍 중앙로15번길 62","055-6737194",
"경남수의 동물병원","경상남도 고성군 고성읍 중앙로15번길 62","673-7194",
"현대동물병원","경상북도 경주시 안강읍 안강중앙로 190-1","054-763-8575",
"즐거운 동물병원","경상북도 경주시 금성로 310-1 (서부동)","0547747576",
"최상범동물병원","경상북도 경주시 금성로 334 (서부동)","0547420964",
"성심동물병원","경상북도 경주시 원효로 186 (황오동)",
"양북동물병원","경상북도 경주시 양북면 감은로 37",
"연성 동물병원","경상북도 경주시 안강읍 비화원로 46","054-761-0005",
"김병규동물병원","경상북도 경주시 불국장터길 5 (시래동)",
"기분좋은 동물병원","경상북도 경주시 양남면 동해안로 612","054-776-6005",
"삼성동물병원","경상북도 경주시 안강읍 안현로 1559","054-763-0164",
"다돈동물병원","경상북도 경주시 안강읍 안현로 546",
"현대동물병원","경상북도 경주시 황성로 59 (황성동)","744-9993",
"이:은종합동물병원","경상북도 경주시 원화로 308-2 (성동동)","070-7559-7588",
"거류가축병원","경상남도 고성군 거류면 당동5길 16","672-1458",
"조수의과가축병원","경상남도 고성군 회화면 배둔로39번길 3",
"제일가축병원","경상남도 고성군 고성읍 동외로 185","674-7343",
"현대가축병원","경상남도 고성군 고성읍 동외로 147","674-2792",
"경남축산가축병원","경상남도 고성군 회화면 회진로 27-13","673-7737",
"가야동물병원","","674-5345",
"고성동물병원","경상남도 고성군 고성읍 동외로 163-14",
"부화동물병원","경상남도 고성군 고성읍 동외로 175",
"백호동물병원","경상남도 고성군 고성읍 중앙로15번길 62","055-6737194",
"경남수의 동물병원","경상남도 고성군 고성읍 중앙로15번길 62","673-7194",
"서울동물병원","경상남도 고성군 고성읍 남포로 127","055-673-8875",
"엄정동물병원","충청북도 충주시 엄정면 내창로 210","043-852-3576",
"충주동물병원","충청북도 충주시 중앙로 34 (문화동)","043-844-6766, 011-48",
"박동물병원","충청북도 충주시 연수로 6-5 (금릉동)",
"충주축협동물병원","충청북도 충주시 예성로 256 (교현동)","043-850-7576, 011-48",
"정종합동물병원","충청북도 충주시 지현천변1길 57 (지현동, 정종합동물병원)",
"현대동물병원","충청북도 충주시 번영대로 144 (연수동)","043-851-3040",
"가인동물병원","충청북도 충주시 계명대로 155 (연수동)",
"삼성동물병원","경상북도 경주시 안강읍 안현로 1559","054-763-0164",
"다돈동물병원","경상북도 경주시 안강읍 안현로 546",
"현대동물병원","경상북도 경주시 황성로 59 (황성동)","744-9993",
"이:은종합동물병원","경상북도 경주시 원화로 308-2 (성동동)","070-7559-7588",
"거류가축병원","경상남도 고성군 거류면 당동5길 16","672-1458",
"조수의과가축병원","경상남도 고성군 회화면 배둔로39번길 3",
"제일가축병원","경상남도 고성군 고성읍 동외로 185","674-7343",
"현대가축병원","경상남도 고성군 고성읍 동외로 147","674-2792",
"경남축산가축병원","경상남도 고성군 회화면 회진로 27-13","673-7737",
"가야동물병원","","674-5345",
"고성동물병원","경상남도 고성군 고성읍 동외로 163-14",
"부화동물병원","경상남도 고성군 고성읍 동외로 175",
"백호동물병원","경상남도 고성군 고성읍 중앙로15번길 62","055-6737194",
"경남수의 동물병원","경상남도 고성군 고성읍 중앙로15번길 62","673-7194",
"서울동물병원","경상남도 고성군 고성읍 남포로 127","055-673-8875",
"엄정동물병원","충청북도 충주시 엄정면 내창로 210","043-852-3576",
"충주동물병원","충청북도 충주시 중앙로 34 (문화동)","043-844-6766, 011-48",
"박동물병원","충청북도 충주시 연수로 6-5 (금릉동)",
