"열린동물병원","대구광역시 동구 아양로 17 (신암동)","952-7227",
"우리가족 동물병원","대구광역시 동구 범안로 823 (율하동)","053-965-8843",
"이끌림동물병원","대구광역시 동구 화랑로 429 (방촌동)","944-8575",
"대학로동물병원","서울특별시 종로구 창경궁로 261 (명륜2가)","3672-8441",
"해동물병원","서울특별시 종로구 지봉로 53-1 (창신동)",
"북악동물병원","서울특별시 종로구 자하문로 293 (홍지동)","391-4575",
"올리브동물병원","서울특별시 종로구 자하문로 305 (홍지동)","3917502",
"평창동물병원","서울특별시 종로구 평창문화로 31 (평창동)","3216-7582",
"우리동물병원","서울특별시 종로구 지봉로 96-3 (숭인동)","3676-1190",
"누리봄동물병원","서울특별시 종로구 사직로12길 2 (내자동)","02-735-7530",
"효자동물병원","서울특별시 종로구 자하문로 66-2 (효자동)","732-3827",
"월드펫동물병원","서울특별시 종로구 진흥로 473 (신영동)","379-7575",
"스머프동물병원","서울특별시 은평구 백련산로 143 (응암동)","02-969-7582",
"와이즈동물병원","대전광역시 서구 원도안로 28 (가수원동)","716-3475",
"메인동물메디컬센터","서울특별시 노원구 동일로 1025-1 (공릉동)",
"참 좋은 동물병원","경기도 광명시 오리로 923, 1층 (광명동, 대성빌딩)",
"햇빛동물병원","경기도 남양주시 덕송2로6번길 28-11 (별내동)","528-7545",
"Dr. 홍 동물병원","전라북도 부안군 부안읍 번영로 82-1","063-581-7582",
"웰니스 클리닉 동물병원","인천광역시 동구 봉수대로 82 (송림동)","032-765-7582",
"응암동물병원","서울특별시 은평구 응암로 261 (응암동)","387-6920",
"김정복동물병원","서울특별시 은평구 통일로 879 (갈현동)","357-8538",
"불광동물병원","서울특별시 은평구 불광로 37 (불광동)","356-1656",
"한얼동물병원","서울특별시 은평구 응암로 226 (응암동)","304-5553",
"연서동물병원","서울특별시 은평구 연서로 162 (대조동)","358-7582",
"늘푸른동물병원","서울특별시 은평구 은평로 29 (신사동)","388-3008",
"녹번동물병원","서울특별시 은평구 통일로 697 (녹번동)","354-4110",
"오거리동물병원","서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)","02-306-0158",
"LOVE MY PET 동물병원","서울특별시 은평구 은평로 208 (응암동)","382-7582",
"미래동물병원","서울특별시 은평구 서오릉로 192 (갈현동)","386-6092",
"더독동물병원","서울특별시 은평구 서오릉로 140 (대조동)","382-3243",
"우리동물병원","서울특별시 종로구 지봉로 96-3 (숭인동)","3676-1190",
"누리봄동물병원","서울특별시 종로구 사직로12길 2 (내자동)","02-735-7530",
"효자동물병원","서울특별시 종로구 자하문로 66-2 (효자동)","732-3827",
"월드펫동물병원","서울특별시 종로구 진흥로 473 (신영동)","379-7575",
"스머프동물병원","서울특별시 은평구 백련산로 143 (응암동)","02-969-7582",
"와이즈동물병원","대전광역시 서구 원도안로 28 (가수원동)","716-3475",
"메인동물메디컬센터","서울특별시 노원구 동일로 1025-1 (공릉동)",
"참 좋은 동물병원","경기도 광명시 오리로 923, 1층 (광명동, 대성빌딩)",
