"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"효진동물병원","전라남도 나주시 왕곡면 나주서부로 4","332-4008",
"코리아동물병원","전라남도 나주시 풍물시장2길 35-8 (이창동)","334-9595",
"부자동물병원","전라남도 나주시 금영로 21 (이창동)",
"나주축협동물병원","전라남도 나주시 왕곡면 영산포로 4","334-7588",
"박인석 동물병원","전라남도 나주시 남평읍 교원교촌길 100","061-335-8275",
"다시동물병원","전라남도 나주시 다시면 다시로 191","0613354522",
"가람동물병원","전라남도 나주시 배멧1길 40 (빛가람동, 창우빌딩 101호)",
"무안동물병원","경상남도 밀양시 무안면 사명로 485-1","352-0135",
"종합동물병원","경상남도 밀양시 내이4길 5 (내이동)","055-353-7001",
"대웅동물병원","경상남도 밀양시 중앙로 388-1 (내이동)","353-6666",
"해동동물병원","경상남도 밀양시 무안면 사명로 510","352-6768",
"혜성동물병원","경상남도 밀양시 백민로7길 9-6 (내이동)","353-1632",
"가야동물병원","경상남도 밀양시 백민로 101-1 (내이동)","352-4663",
"경남동물병원","경상남도 밀양시 남천강변로 43-4 (내일동)","356-3100",
"밀양축협 동물병원","경상남도 밀양시 중앙로 264 (삼문동)","351-2728",
"밀양 한우 동물병원","경상남도 밀양시 삼문중앙로 15-14 (삼문동)","353-7588",
"참좋은동물병원","경상남도 밀양시 밀양대로 1896 (내이동)","055-351-3581",
"보경동물병원","경상남도 밀양시 상남면 고노실길 4","055-355-9985",
"코리아동물병원","경기도 평택시 중앙로 141 (비전동)","656-0524",
"부천축협 사료사업소 동물병원","경기도 평택시 팽성읍 안정로 159",
"경기도 야생동물 구조관리센터","경기도 평택시 진위면 동천길 132-93","03180086212",
"쿨펫동물병원","경기도 평택시 평택5로 30, 3층 (합정동, 롯데마트)","651-5975",
"굿모닝동물병원","경기도 평택시 현덕면 인광2길 58","683-1333",
"맑은숲동물병원","경기도 평택시 추담로 102 (이충동)","662-8222",
"펫사랑동물병원","경기도 평택시 영신로 29 (지제동,이마트2층)","653-0275",
"튼튼동물병원","경기도 평택시 평남로 655 (비전동)","651-8272",
"이형윤동물병원","경기도 평택시 중앙로 128 (합정동)","652-8921",
"다시동물병원","전라남도 나주시 다시면 다시로 191","0613354522",
"가람동물병원","전라남도 나주시 배멧1길 40 (빛가람동, 창우빌딩 101호)",
"무안동물병원","경상남도 밀양시 무안면 사명로 485-1","352-0135",
"종합동물병원","경상남도 밀양시 내이4길 5 (내이동)","055-353-7001",
"대웅동물병원","경상남도 밀양시 중앙로 388-1 (내이동)","353-6666",
"해동동물병원","경상남도 밀양시 무안면 사명로 510","352-6768",
"혜성동물병원","경상남도 밀양시 백민로7길 9-6 (내이동)","353-1632",
"가야동물병원","경상남도 밀양시 백민로 101-1 (내이동)","352-4663",
"경남동물병원","경상남도 밀양시 남천강변로 43-4 (내일동)","356-3100",
"밀양축협 동물병원","경상남도 밀양시 중앙로 264 (삼문동)","351-2728",
"밀양 한우 동물병원","경상남도 밀양시 삼문중앙로 15-14 (삼문동)","353-7588",
"참좋은동물병원","경상남도 밀양시 밀양대로 1896 (내이동)","055-351-3581",
"보경동물병원","경상남도 밀양시 상남면 고노실길 4","055-355-9985",
"코리아동물병원","경기도 평택시 중앙로 141 (비전동)","656-0524",
"부천축협 사료사업소 동물병원","경기도 평택시 팽성읍 안정로 159",
"경기도 야생동물 구조관리센터","경기도 평택시 진위면 동천길 132-93","03180086212",
"쿨펫동물병원","경기도 평택시 평택5로 30, 3층 (합정동, 롯데마트)","651-5975",
"굿모닝동물병원","경기도 평택시 현덕면 인광2길 58","683-1333",
"맑은숲동물병원","경기도 평택시 추담로 102 (이충동)","662-8222",
"펫사랑동물병원","경기도 평택시 영신로 29 (지제동,이마트2층)","653-0275",
"튼튼동물병원","경기도 평택시 평남로 655 (비전동)","651-8272",
"이형윤동물병원","경기도 평택시 중앙로 128 (합정동)","652-8921",
"스누피동물병원","경기도 평택시 서정역로 21 (서정동)","611-7582",
"two현동물병원","경기도 평택시 평택2로 99 (비전동)","070-4067-7858",
"강남동물병원","경기도 평택시 팽성읍 안정쇼핑로 3",
"라뽀동물병원","경기도 평택시 송탄로 255 (서정동)",
"종합동물병원","경기도 평택시 평택로 105 (통복동)","655-4980",
"서울동물병원","경기도 평택시 안중읍 안중로114번길 20","682-2627",
"경기동물병원","경기도 평택시 서정역로58번길 30 (서정동)","666-6501",
"정동물병원","경기도 평택시 안중읍 안중로 94, 105동 (평창빌딩)","681-2406",
"경남동물병원","경상남도 밀양시 남천강변로 43-4 (내일동)","356-3100",
"밀양축협 동물병원","경상남도 밀양시 중앙로 264 (삼문동)","351-2728",
"밀양 한우 동물병원","경상남도 밀양시 삼문중앙로 15-14 (삼문동)","353-7588",
"참좋은동물병원","경상남도 밀양시 밀양대로 1896 (내이동)","055-351-3581",
"보경동물병원","경상남도 밀양시 상남면 고노실길 4","055-355-9985",
"코리아동물병원","경기도 평택시 중앙로 141 (비전동)","656-0524",
"부천축협 사료사업소 동물병원","경기도 평택시 팽성읍 안정로 159",
"경기도 야생동물 구조관리센터","경기도 평택시 진위면 동천길 132-93","03180086212",
"쿨펫동물병원","경기도 평택시 평택5로 30, 3층 (합정동, 롯데마트)","651-5975",
"굿모닝동물병원","경기도 평택시 현덕면 인광2길 58","683-1333",
"맑은숲동물병원","경기도 평택시 추담로 102 (이충동)","662-8222",
"펫사랑동물병원","경기도 평택시 영신로 29 (지제동,이마트2층)","653-0275",
"튼튼동물병원","경기도 평택시 평남로 655 (비전동)","651-8272",
"이형윤동물병원","경기도 평택시 중앙로 128 (합정동)","652-8921",
"스누피동물병원","경기도 평택시 서정역로 21 (서정동)","611-7582",
"two현동물병원","경기도 평택시 평택2로 99 (비전동)","070-4067-7858",
"강남동물병원","경기도 평택시 팽성읍 안정쇼핑로 3",
"라뽀동물병원","경기도 평택시 송탄로 255 (서정동)",
"종합동물병원","경기도 평택시 평택로 105 (통복동)","655-4980",
"서울동물병원","경기도 평택시 안중읍 안중로114번길 20","682-2627",
"경기동물병원","경기도 평택시 서정역로58번길 30 (서정동)","666-6501",
"정동물병원","경기도 평택시 안중읍 안중로 94, 105동 (평창빌딩)","681-2406",
"오암동물병원","경기도 평택시 안중읍 안중로99번길 13-1","682-2470",
"심재훈동물병원","경기도 평택시 탄현로 310-1 (지산동)","662-4805",
"건국동물병원","경기도 평택시 청북읍 율북로 13","665-7763",
"한호동물병원","경기도 평택시 송탄로 202 (서정동)","611-5736",
"제갈동물병원","경기도 평택시 청북읍 율북로 13","665-0376",
"보람동물병원","경기도 평택시 고덕면 동청1길 35","668-9935",
"맥동물병원","경기도 평택시 평택로 80 (평택동)","657-1062",
"이모란동물병원","경기도 평택시 평택로 63 (평택동)","655-1101",
"쿨펫동물병원","경기도 평택시 평택5로 30, 3층 (합정동, 롯데마트)","651-5975",
"굿모닝동물병원","경기도 평택시 현덕면 인광2길 58","683-1333",
"맑은숲동물병원","경기도 평택시 추담로 102 (이충동)","662-8222",
"펫사랑동물병원","경기도 평택시 영신로 29 (지제동,이마트2층)","653-0275",
"튼튼동물병원","경기도 평택시 평남로 655 (비전동)","651-8272",
"이형윤동물병원","경기도 평택시 중앙로 128 (합정동)","652-8921",
"스누피동물병원","경기도 평택시 서정역로 21 (서정동)","611-7582",
